EXCHANGE DATE,AFIN,AINM,ALLI,AMMB,ANCR,APES,BIMB,BMYS,CIMB,ECMI,ELKD,HLBB,HLCB,INSS,JHHS,KCDS,KNNK,LOND,MAAS,MBBM,MBSS,MNLF,MNRB,MPHB,PACO,PUBM,REDI,RHBC,TAKA,TUNE
1/1/2021,1.84,14.78,2.91,3.65,12,0.96,3.056,8.3,4.3,0.23,1.45,18.2,18.06,0.94,0.19,1.5,0.95,13.72,0.775,8.46,0.675,2.01,0.975,1.09,0.87,4.12,1.375,5.45,4.84,0.435
4/1/2021,1.83,14.7,2.94,3.49,12.1,0.92,3.084,8.26,4.28,0.23,1.43,18.38,18.12,0.95,0.176,1.52,0.93,13.72,0.755,8.35,0.655,2.01,0.95,1.05,0.875,4.104,1.36,5.5,4.8,0.435
5/1/2021,1.8,14.38,2.91,3.44,11.9,0.92,3.084,8.13,4.3,0.23,1.44,18.1,18.24,0.995,0.176,1.51,0.93,13.62,0.77,8.31,0.655,2.05,0.94,1.08,0.87,4.124,1.305,5.48,4.84,0.43
6/1/2021,1.74,14.3,2.85,3.38,11.68,0.95,3.02,8.02,4.16,0.23,1.44,17.84,17.7,0.94,0.172,1.53,0.925,13.38,0.76,8.24,0.635,2.01,0.935,1.09,0.87,4.068,1.3,5.48,4.81,0.42
7/1/2021,1.69,14.18,2.84,3.35,11.56,0.95,2.955,8.15,4.14,0.25,1.42,18,17.7,0.945,0.172,1.47,0.915,13.26,0.775,8.28,0.625,2,0.93,1.04,0.87,4.08,1.275,5.42,4.62,0.41
8/1/2021,1.67,14.18,2.81,3.42,11.38,0.94,2.955,8.23,4.11,0.23,1.42,18.18,17.66,0.915,0.163,1.47,0.915,13.18,0.775,8.4,0.605,2.02,0.92,1.02,0.865,4.068,1.215,5.41,4.57,0.405
11/1/2021,1.64,14.18,2.71,3.34,11,0.945,2.919,8.28,4.04,0.23,1.41,18.08,17.62,0.91,0.163,1.48,0.92,13.12,0.78,8.19,0.61,2.03,0.905,1.06,0.865,4.056,1.215,5.41,4.51,0.4
12/1/2021,1.63,14.16,2.57,3.26,10.9,0.91,2.898,8.27,3.92,0.23,1.4,17.5,17.2,0.91,0.158,1.46,0.91,13.2,0.75,8,0.615,2.03,0.915,1.04,0.865,4.016,1.215,5.33,4.48,0.395
13/1/2021,1.73,14.38,2.64,3.3,11.12,0.945,2.941,8.33,4.07,0.22,1.42,17.76,17.2,0.945,0.167,1.49,1.06,13.4,0.75,8.3,0.635,2.05,0.92,1.03,0.855,4.28,1.255,5.47,4.5,0.42
14/1/2021,1.75,14.46,2.71,3.28,11.1,0.94,2.977,8.6,4.14,0.225,1.4,17.6,17.34,0.935,0.176,1.48,1.09,13.44,0.755,8.35,0.625,2.01,0.92,1.02,0.87,4.34,1.26,5.46,4.58,0.42
15/1/2021,1.71,14.5,2.71,3.26,11.18,0.935,3.013,8.54,4.1,0.23,1.41,17.8,17.16,0.97,0.176,1.49,1.09,13.52,0.755,8.25,0.625,2.08,0.91,1,0.87,4.24,1.26,5.42,4.57,0.42
18/1/2021,1.68,14.5,2.66,3.2,11.08,0.935,3.013,8.51,4,0.23,1.41,17.44,17.14,0.985,0.176,1.47,1.14,13.28,0.755,8.08,0.61,2.08,0.9,0.98,0.87,4.196,1.26,5.37,4.48,0.415
19/1/2021,1.69,14.5,2.64,3.19,11.08,0.935,3.013,8.6,4,0.235,1.41,17.44,16.86,0.965,0.172,1.49,1.14,13.2,0.75,8.1,0.61,2.08,0.9,1,0.87,4.18,1.275,5.24,4.44,0.415
20/1/2021,1.7,14.46,2.7,3.26,11.04,0.93,2.941,8.78,4.04,0.25,1.39,17.6,16.7,0.95,0.167,1.52,1.2,13.2,0.75,8.09,0.63,2.05,0.92,1,0.845,4.264,1.27,5.29,4.42,0.415
21/1/2021,1.69,14.48,2.7,3.32,11.06,0.94,2.991,8.74,4,0.24,1.4,17.58,16.6,0.935,0.163,1.5,1.26,13.18,0.735,8.05,0.605,2.02,0.91,1,0.855,4.312,1.275,5.35,4.43,0.42
22/1/2021,1.67,14.52,2.65,3.34,11.08,0.94,3.12,8.73,3.98,0.24,1.4,17.56,16.68,0.95,0.163,1.49,1.29,13.16,0.75,8,0.615,2.02,0.905,0.98,0.855,4.332,1.27,5.34,4.4,0.415
25/1/2021,1.66,13.56,2.54,3.19,10.78,0.94,2.962,8.73,3.84,0.24,1.38,17.24,16.12,0.925,0.158,1.49,1.24,13.06,0.735,7.88,0.59,2,0.88,0.965,0.855,4.26,1.23,5.23,4.34,0.405
26/1/2021,1.65,13.42,2.52,3.15,10.9,0.92,2.898,8.78,3.87,0.24,1.37,17.46,16.46,0.94,0.154,1.53,1.24,13.12,0.735,7.82,0.595,2,0.885,1,0.85,4.4,1.245,5.28,4.29,0.415
27/1/2021,1.64,13.64,2.5,3.21,10.94,0.945,2.869,9.18,3.94,0.24,1.37,17.5,16.86,0.995,0.154,1.5,1.36,13.08,0.73,7.87,0.6,2,0.91,1,0.855,4.36,1.26,5.15,4.34,0.405
28/1/2021,1.64,13.64,2.5,3.21,10.94,0.945,2.869,9.18,3.94,0.24,1.37,17.5,16.86,0.995,0.154,1.5,1.36,13.08,0.73,7.87,0.6,2,0.91,1,0.855,4.36,1.26,5.15,4.34,0.405
29/1/2021,1.64,13.52,2.48,3.08,10.82,0.92,2.869,9.37,3.84,0.25,1.39,17.26,16.36,0.995,0.158,1.49,1.34,13.08,0.735,7.81,0.595,2.02,0.9,0.98,0.85,4.19,1.245,5.1,4.3,0.405
1/2/2021,1.64,13.52,2.48,3.08,10.82,0.92,2.869,9.37,3.84,0.25,1.39,17.26,16.36,0.995,0.158,1.49,1.34,13.08,0.735,7.81,0.595,2.02,0.9,0.98,0.85,4.19,1.245,5.1,4.3,0.405
2/2/2021,1.64,13.3,2.5,3.25,10.92,0.92,2.754,9.35,3.86,0.24,1.38,17.3,16.66,0.865,0.154,1.5,1.46,13.18,0.735,7.85,0.6,2.02,0.89,0.98,0.86,4.1,1.25,5.1,4.31,0.395
3/2/2021,1.65,13.28,2.53,3.24,11.02,0.945,2.862,9.35,3.9,0.235,1.4,17.4,16.54,0.87,0.154,1.5,1.46,13.46,0.73,7.94,0.61,2.02,0.895,0.97,0.86,4.1,1.245,5.19,4.33,0.385
4/2/2021,1.67,13.18,2.56,3.3,10.88,0.96,2.855,9.38,3.95,0.23,1.4,17.44,17.3,0.9,0.149,1.51,1.44,13.68,0.72,7.89,0.61,2.02,0.895,0.97,0.85,4.08,1.255,5.29,4.3,0.39
5/2/2021,1.66,13.28,2.59,3.29,10.88,0.975,2.855,9.38,3.89,0.235,1.38,17.42,17.1,0.87,0.154,1.6,1.63,13.84,0.72,7.86,0.61,2.05,0.9,0.97,0.85,4.12,1.25,5.2,4.32,0.39
8/2/2021,1.68,13.48,2.54,3.31,10.84,1.09,2.883,9.3,3.95,0.24,1.39,17.4,16.76,0.855,0.154,1.58,1.75,13.96,0.705,7.83,0.615,2.05,0.905,0.965,0.845,4.08,1.255,5.3,4.26,0.4
9/2/2021,1.7,13.66,2.62,3.32,11,1.07,2.869,9.28,4.06,0.24,1.38,17.56,16.8,0.86,0.149,1.68,1.72,13.84,0.705,7.95,0.63,2.03,0.9,0.97,0.845,4.14,1.255,5.34,4.28,0.405
10/2/2021,1.74,13.6,2.7,3.38,11.36,1.06,2.848,9.3,4.19,0.22,1.4,18.22,17,0.87,0.149,1.68,1.84,13.92,0.715,8.03,0.65,2.03,0.905,0.97,0.845,4.22,1.305,5.4,4.3,0.4
11/2/2021,1.76,13.68,2.7,3.38,11.3,1.07,2.84,9.24,4.19,0.22,1.4,18.4,17.3,0.885,0.149,1.67,1.83,14.1,0.715,7.98,0.665,2.03,0.905,0.97,0.875,4.24,1.33,5.32,4.31,0.4
12/2/2021,1.76,13.68,2.7,3.38,11.3,1.07,2.84,9.24,4.19,0.22,1.4,18.4,17.3,0.885,0.149,1.67,1.83,14.1,0.715,7.98,0.665,2.03,0.905,0.97,0.875,4.24,1.33,5.32,4.31,0.4
15/2/2021,1.78,13.68,2.7,3.4,11.58,1.09,2.905,9.25,4.22,0.22,1.4,18.22,17.1,0.915,0.154,1.65,1.89,14.12,0.715,8.12,0.665,2.03,0.91,0.955,0.975,4.21,1.39,5.48,4.35,0.4
